תאריך,יום,שעה (עגולה),מספר קו,שם הקו,route_id,כיוון,אלטרנטיבה,חברה (agency_name),סוג מסלול (route_type),עיר מוצא,תחנת מוצא,עיר יעד,תחנת יעד,כמות תחנות,אורך מסלול (קמ),זמן יציאה מתוכנן,זמן הגעה מתוכנן,משך מתוכנן (דק),משך בפועל (דק),הפרש (דק),מהירות מתוכננת (קמש),מהירות בפועל (קמש),מזהה SIRI
05/01/2024,שישי,01:00,425,מסוף עתידים-תל אביב יפו<->שדרות רחבעם זאבי-ראשון לציון-1#,10374,1,#,אגד,אוטובוס,תל אביב יפו,מסוף עתידים,ראשון לציון,שדרות רחבעם זאבי,74,29.687,01:00:00,02:43:00,103,72,-31,17.3,24.7,58601904
05/01/2024,שישי,01:00,170,מסוף כרמלית-תל אביב יפו<->ת. מרכזית לוד/הורדה-לוד-20,22988,2,0,קווים,אוטובוס,תל אביב יפו,מסוף כרמלית,לוד,ת. מרכזית לוד/הורדה,57,32.488,01:00:00,02:18:40,79,76,-3,24.7,25.6,58601907
05/01/2024,שישי,01:00,4,מסוף רדינג/רציפים-תל אביב יפו<->מסוף הטייסים-תל אביב יפו-10,2255,1,0,דן,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,תל אביב יפו,מסוף הטייסים,33,10.605,01:00:00,01:36:59,37,36,-1,17.2,17.7,58601916
05/01/2024,שישי,01:00,425,שדרות רחבעם זאבי-ראשון לציון<->מסוף עתידים-תל אביב יפו-2#,10375,2,#,אגד,אוטובוס,ראשון לציון,שדרות רחבעם זאבי,תל אביב יפו,מסוף עתידים,81,30.715,01:15:00,03:03:59,109,80,-29,16.9,23.0,58601918
05/01/2024,שישי,01:00,469,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-2#,13582,2,#,מטרופולין,אוטובוס,באר שבע,ת.מרכזית באר שבע/רציפים בינעירוני,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,29,110.53,01:15:00,03:35:59,141,123,-18,47.0,53.9,58601923
05/01/2024,שישי,01:00,231,מסוף כרמלית/הכרמל-תל אביב יפו<->איזור התעשיה כפר סבא-כפר סבא-2#,9486,2,#,מטרופולין,אוטובוס,תל אביב יפו,מסוף כרמלית/הכרמל,כפר סבא,איזור התעשיה כפר סבא,56,30.63,01:15:00,02:36:59,82,54,-28,22.4,34.0,58601924
05/01/2024,שישי,01:00,599,מסוף רדינג/רציפים-תל אביב יפו<->הרב עובדיה יוסף/דרך מנחם בגין-פתח תקווה-20,10498,2,0,אלקטרה אפיקים,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,פתח תקווה,הרב עובדיה יוסף/דרך מנחם בגין,65,24.677,01:15:00,02:35:15,80,75,-5,18.5,19.7,58601932
05/01/2024,שישי,01:00,555,מסוף רדינג/רציפים-תל אביב יפו<->מסוף יהוד/הורדה-יהוד מונוסון-10,1048,1,0,קווים,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,יהוד מונוסון,מסוף יהוד/הורדה,46,18.846,01:30:00,02:26:34,57,46,-11,19.8,24.6,58601936
05/01/2024,שישי,01:00,222,מסוף רדינג/רציפים-תל אביב יפו<->מבוא רעות/שד. האורנים-מודיעין מכבים רעות-20,11206,2,0,קווים,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,מודיעין מכבים רעות,מבוא רעות/שד. האורנים,42,43.62,01:30:00,02:54:23,84,87,3,31.2,30.1,58601937
05/01/2024,שישי,01:00,418,מסוף בית העלמין/איסוף-בת ים<->מסוף אזורי חן-תל אביב יפו-20,2949,2,0,דן,אוטובוס,בת ים,מסוף בית העלמין/איסוף,תל אביב יפו,מסוף אזורי חן,56,20.168,01:30:00,02:40:44,71,58,-13,17.0,20.9,58601938
05/01/2024,שישי,01:00,418,מסוף אזורי חן-תל אביב יפו<->מסוף בית העלמין/הורדה-בת ים-10,2948,1,0,דן,אוטובוס,תל אביב יפו,מסוף אזורי חן,בת ים,מסוף בית העלמין/הורדה,57,19.9,01:30:00,02:39:19,69,59,-10,17.3,20.2,58601939
05/01/2024,שישי,01:00,463,מסוף רדינג/רציפים-תל אביב יפו<->הרב שלמה גורן/מבטחים-גבעת שמואל-10,2950,1,0,דן,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,גבעת שמואל,הרב שלמה גורן/מבטחים,60,20.743,01:30:00,02:43:59,74,69,-5,16.8,18.0,58601940
